stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2017-01-01 14:00:00,453.0,467.0,156.0,7.2,3.0,9.0
aotizhongxin_aq,2017-01-01 15:00:00,417.0,443.0,143.0,6.8,2.0,8.0
aotizhongxin_aq,2017-01-01 16:00:00,395.0,467.0,141.0,6.9,3.0,8.0
aotizhongxin_aq,2017-01-01 17:00:00,420.0,484.0,139.0,7.4,3.0,9.0
aotizhongxin_aq,2017-01-01 18:00:00,453.0,520.0,157.0,7.6,4.0,9.0
aotizhongxin_aq,2017-01-01 19:00:00,429.0,,141.0,6.5,3.0,9.0
aotizhongxin_aq,2017-01-01 20:00:00,211.0,,110.0,3.3,,11.0
aotizhongxin_aq,2017-01-01 21:00:00,116.0,,87.0,2.2,4.0,13.0
aotizhongxin_aq,2017-01-01 22:00:00,51.0,,58.0,1.3,26.0,14.0
aotizhongxin_aq,2017-01-01 23:00:00,38.0,,55.0,1.1,28.0,14.0
aotizhongxin_aq,2017-01-02 00:00:00,21.0,,40.0,0.7,42.0,16.0
aotizhongxin_aq,2017-01-02 01:00:00,16.0,,40.0,0.8,44.0,18.0
aotizhongxin_aq,2017-01-02 02:00:00,23.0,,42.0,0.7,45.0,17.0
aotizhongxin_aq,2017-01-02 03:00:00,18.0,,30.0,0.6,59.0,14.0
aotizhongxin_aq,2017-01-02 04:00:00,58.0,247.0,76.0,2.4,46.0,12.0
aotizhongxin_aq,2017-01-02 05:00:00,176.0,,99.0,0.3,42.0,17.0
aotizhongxin_aq,2017-01-02 06:00:00,109.0,211.0,86.0,2.6,58.0,14.0
aotizhongxin_aq,2017-01-02 07:00:00,267.0,,125.0,4.2,53.0,19.0
aotizhongxin_aq,2017-01-02 08:00:00,260.0,,115.0,3.9,56.0,18.0
aotizhongxin_aq,2017-01-02 09:00:00,212.0,,112.0,3.6,50.0,14.0
aotizhongxin_aq,2017-01-02 10:00:00,183.0,,111.0,0.3,33.0,14.0
aotizhongxin_aq,2017-01-02 11:00:00,136.0,,89.0,2.3,41.0,14.0
aotizhongxin_aq,2017-01-02 12:00:00,137.0,,89.0,2.2,35.0,13.0
aotizhongxin_aq,2017-01-02 13:00:00,125.0,,90.0,2.1,28.0,13.0
aotizhongxin_aq,2017-01-02 14:00:00,153.0,,108.0,2.5,13.0,14.0
aotizhongxin_aq,2017-01-02 15:00:00,165.0,,126.0,3.1,2.0,14.0
aotizhongxin_aq,2017-01-02 16:00:00,225.0,,148.0,4.9,4.0,23.0
aotizhongxin_aq,2017-01-02 17:00:00,275.0,,158.0,6.4,7.0,28.0
aotizhongxin_aq,2017-01-02 18:00:00,293.0,,155.0,6.4,5.0,17.0
aotizhongxin_aq,2017-01-02 19:00:00,293.0,,153.0,6.2,5.0,16.0
